pmid,analytic_method,experiment_name,biomarker_id,biomarker_long_name,biomarker_short_name,original_name,original_value,association_name,association_value,association_unit,X95..CI,se,association_p_value_unit...15,association_p_value,association_p_value_qualifier,association_p_value_unit...18,association_n_value...analysis_n_value.in.Analytic_Methods_Table.,concept_id,concept_id_description
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol ratio,L-HDL-C,Beta Coefficient,-0.3058192,NA,0.73651981,NA,"(0.67, 0.81)",0.04967353,NA,7.43E-10,NA,NA,117498,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium HDL Cholesterol ratio,M-HDL-C,Beta Coefficient,-0.3691883,NA,0.69129524,NA,"(0.61, 0.78)",0.0602003,NA,8.64E-10,NA,NA,118013,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,DHA  ratio,DHA,Beta Coefficient,-0.3116593,NA,0.73223095,NA,"(0.66, 0.81)",0.05082901,NA,8.70E-10,NA,NA,63618,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,IDL ratio,IDL-PL,Beta Coefficient,0.40446364,NA,1.49849854,NA,"(1.32, 1.71)",0.06627378,NA,1.04E-09,NA,NA,117993,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small VLDL ratio,S-VLDL-PL,Beta Coefficient,-0.3700931,NA,0.69067003,NA,"(0.61, 0.78)",0.0612817,NA,1.55E-09,NA,NA,118027,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium HDL Cholesterol ratio,M-HDL-PL,Beta Coefficient,0.28449881,NA,1.32909573,NA,"(1.21, 1.46)",0.04761547,NA,2.30E-09,NA,NA,63751,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,LDL Free Cholesterol,LDL-FC,Beta Coefficient,-0.3951186,NA,0.67360011,NA,"(0.59, 0.77)",0.0661439,NA,2.32E-09,NA,NA,118016,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small VLDL ratio,S-VLDL-FC,Beta Coefficient,-0.3393895,NA,0.71220501,NA,"(0.64, 0.8)",0.05726076,NA,3.08E-09,NA,NA,118029,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,NA Cholesterol,Clinical LDL-C,Beta Coefficient,-0.3598008,NA,0.69781531,NA,"(0.62, 0.79)",0.06138575,NA,4.59E-09,NA,NA,118011,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small HDL Cholesterol,S-HDL-P,Beta Coefficient,-0.4119675,NA,0.66234582,NA,"(0.58, 0.76)",0.07033025,NA,4.70E-09,NA,NA,117977,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very Large HDL Cholesterol ratio,XL-HDL-FC,Beta Coefficient,0.27301192,NA,1.31391591,NA,"(1.2, 1.44)",0.0469423,NA,6.03E-09,NA,NA,63670,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Monounsaturated Fatty Acid ratio,PUFA/MUFA,Beta Coefficient,-0.2864377,NA,0.75093389,NA,"(0.68, 0.83)",0.04975594,NA,8.57E-09,NA,NA,63709,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Medium HDL Cholesterol ratio,M-HDL-PL,Beta Coefficient,0.36436648,NA,1.4396017,NA,"(1.27, 1.63)",0.0636469,NA,1.04E-08,NA,NA,118014,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol,L-HDL-CE,Beta Coefficient,-0.3235986,NA,0.72354059,NA,"(0.65, 0.81)",0.0565933,NA,1.08E-08,NA,NA,63737,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,HDL Cholesterol,HDL-C,Beta Coefficient,-0.3070429,NA,0.73561902,NA,"(0.66, 0.82)",0.05386821,NA,1.20E-08,NA,NA,63733,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol,L-HDL-C,Beta Coefficient,-0.3206525,NA,0.7256754,NA,"(0.65, 0.81)",0.05625952,NA,1.20E-08,NA,NA,63734,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Small LDL Cholesterol ratio,S-LDL-FC,Beta Coefficient,-0.2912294,NA,0.74734422,NA,"(0.68, 0.83)",0.05112578,NA,1.22E-08,NA,NA,117593,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium LDL Cholesterol ratio,M-LDL-FC,Beta Coefficient,-0.3123827,NA,0.73170147,NA,"(0.66, 0.81)",0.05490251,NA,1.27E-08,NA,NA,117843,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium LDL Cholesterol ratio,M-LDL-C,Beta Coefficient,-0.3120013,NA,0.73198059,NA,"(0.66, 0.82)",0.05494782,NA,1.36E-08,NA,NA,117436,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Docosahexaenoic Acid,DHA,Beta Coefficient,-0.3197661,NA,0.72631887,NA,"(0.65, 0.81)",0.05635078,NA,1.39E-08,NA,NA,63558,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol,L-HDL-P,Beta Coefficient,-0.3352909,NA,0.71512999,NA,"(0.64, 0.8)",0.05910949,NA,1.41E-08,NA,NA,63732,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol ratio,L-LDL-FC,Beta Coefficient,-0.3074935,NA,0.73528767,NA,"(0.66, 0.82)",0.05435942,NA,1.54E-08,NA,NA,117792,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very small VLDL ratio,XS-VLDL-PL,Beta Coefficient,0.36936805,NA,1.44682001,NA,"(1.27, 1.64)",0.06535288,NA,1.59E-08,NA,NA,117987,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Glutamine,Gln,Beta Coefficient,-0.3682216,NA,0.69196383,NA,"(0.61, 0.79)",0.06518003,NA,1.61E-08,NA,NA,117664,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,HDL Free Cholesterol,HDL-FC,Beta Coefficient,-0.3183304,NA,0.72736246,NA,"(0.65, 0.81)",0.05636386,NA,1.63E-08,NA,NA,63716,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Medium HDL Cholesterol ratio,M-HDL-TG,Beta Coefficient,0.42615871,NA,1.5313638,NA,"(1.32, 1.78)",0.07574784,NA,1.84E-08,NA,NA,118002,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,HDL Cholesteryl Esters,HDL-CE,Beta Coefficient,-0.3015232,NA,0.73969065,NA,"(0.67, 0.82)",0.05367179,NA,1.93E-08,NA,NA,63734,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,LDL Cholesterol,LDL-C,Beta Coefficient,-0.356107,NA,0.70039764,NA,"(0.62, 0.79)",0.06351984,NA,2.07E-08,NA,NA,118013,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small HDL Cholesterol ratio,S-HDL-FC,Beta Coefficient,-0.3091347,NA,0.73408186,NA,"(0.66, 0.82)",0.05520166,NA,2.14E-08,NA,NA,63590,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Small HDL Cholesterol ratio,S-HDL-TG,Beta Coefficient,0.42209405,NA,1.52515196,NA,"(1.32, 1.77)",0.07554229,NA,2.30E-08,NA,NA,117984,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol,L-HDL-L,Beta Coefficient,-0.3072342,NA,0.73547833,NA,"(0.66, 0.82)",0.055085,NA,2.44E-08,NA,NA,63732,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Very small VLDL ratio,XS-VLDL-CE,Beta Coefficient,-0.301175,NA,0.73994826,NA,"(0.66, 0.82)",0.05490313,NA,4.12E-08,NA,NA,118004,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very Large HDL Cholesterol,XL-HDL-CE,Beta Coefficient,-0.3172251,NA,0.72816686,NA,"(0.65, 0.82)",0.05796456,NA,4.43E-08,NA,NA,63603,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol,L-HDL-FC,Beta Coefficient,-0.3174665,NA,0.72799109,NA,"(0.65, 0.82)",0.05804482,NA,4.52E-08,NA,NA,63716,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol,L-LDL-C,Beta Coefficient,-0.3544315,NA,0.70157216,NA,"(0.62, 0.8)",0.06494922,NA,4.84E-08,NA,NA,118005,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol ratio,L-HDL-PL,Beta Coefficient,0.24295037,NA,1.27500534,NA,"(1.17, 1.39)",0.0445488,NA,4.94E-08,NA,NA,63659,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Unsaturation,Unsaturation,Beta Coefficient,-0.2898603,NA,0.74836812,NA,"(0.67, 0.83)",0.05317852,NA,5.02E-08,NA,NA,117898,C15,Esophageal Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol,L-LDL-FC,Beta Coefficient,-0.3678543,NA,0.69221806,NA,"(0.61, 0.79)",0.06764205,NA,5.38E-08,NA,NA,118012,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium LDL Cholesterol,M-LDL-PL,Beta Coefficient,-0.378964,NA,0.68457026,NA,"(0.6, 0.79)",0.07024966,NA,6.87E-08,NA,NA,118016,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Tyrosine,Tyr,Beta Coefficient,0.32328969,NA,1.38166555,NA,"(1.23, 1.55)",0.05993716,NA,6.90E-08,NA,NA,117766,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small LDL Cholesterol,S-LDL-C,Beta Coefficient,-0.3730652,NA,0.68862035,NA,"(0.6, 0.79)",0.06944637,NA,7.79E-08,NA,NA,118018,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very small VLDL ratio,XS-VLDL-C,Beta Coefficient,-0.2986042,NA,0.74185297,NA,"(0.67, 0.83)",0.05560415,NA,7.87E-08,NA,NA,117996,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Polyunsaturated Fatty Acid ratio,PUFA,Beta Coefficient,-0.2521209,NA,0.7771508,NA,"(0.71, 0.85)",0.0470034,NA,8.15E-08,NA,NA,117915,C15,Esophageal Cancer
36737450,36737450.1.1,Nightingale,NA,Medium LDL Cholesterol,M-LDL-C,Beta Coefficient,-0.3635041,NA,0.6952359,NA,"(0.61, 0.79)",0.06777283,NA,8.16E-08,NA,NA,118018,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,LDL Phosphoglyceride,LDL-PL,Beta Coefficient,-0.360035,NA,0.69765188,NA,"(0.61, 0.8)",0.06732706,NA,8.92E-08,NA,NA,118016,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very Large HDL Cholesterol,XL-HDL-P,Beta Coefficient,-0.3103725,NA,0.7331738,NA,"(0.65, 0.82)",0.05858437,NA,1.17E-07,NA,NA,63501,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Very Large HDL Cholesterol,XL-HDL-C,Beta Coefficient,-0.3032122,NA,0.73844242,NA,"(0.66, 0.83)",0.05726205,NA,1.19E-07,NA,NA,63550,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol,L-HDL-PL,Beta Coefficient,-0.2949204,NA,0.74459087,NA,"(0.67, 0.83)",0.05578723,NA,1.25E-07,NA,NA,63735,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol,L-LDL-CE,Beta Coefficient,-0.3503439,NA,0.70444577,NA,"(0.62, 0.8)",0.06628334,NA,1.25E-07,NA,NA,118002,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol ratio,L-HDL-TG,Beta Coefficient,0.36133576,NA,1.43524528,NA,"(1.25, 1.64)",0.06857447,NA,1.37E-07,NA,NA,117533,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,LDL Cholesteryl Esters,LDL-CE,Beta Coefficient,-0.3417522,NA,0.71052425,NA,"(0.63, 0.81)",0.06504393,NA,1.49E-07,NA,NA,118012,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,HDL particle size,HDL particle size,Beta Coefficient,-0.2947252,NA,0.7447362,NA,"(0.67, 0.83)",0.0561811,NA,1.55E-07,NA,NA,63753,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Unsaturation,Unsaturation,Beta Coefficient,-0.3447247,NA,0.70841536,NA,"(0.62, 0.81)",0.0660612,NA,1.81E-07,NA,NA,117926,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,HDL,HDL-L,Beta Coefficient,-0.2777571,NA,0.75748081,NA,"(0.68, 0.84)",0.05338717,NA,1.96E-07,NA,NA,63725,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Small LDL Cholesterol,S-LDL-PL,Beta Coefficient,-0.3602288,NA,0.69751669,NA,"(0.61, 0.8)",0.0693178,NA,2.03E-07,NA,NA,118017,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,LDL,LDL-L,Beta Coefficient,-0.3296315,NA,0.71918869,NA,"(0.63, 0.82)",0.06389578,NA,2.48E-07,NA,NA,118012,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very Large HDL Cholesterol,XL-HDL-L,Beta Coefficient,-0.2928145,NA,0.74616057,NA,"(0.67, 0.83)",0.05693689,NA,2.71E-07,NA,NA,63543,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,HDL Triglyceride,HDL-TG,Beta Coefficient,0.31179271,NA,1.36587153,NA,"(1.21, 1.54)",0.06072408,NA,2.83E-07,NA,NA,117873,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium LDL Cholesterol,M-LDL-L,Beta Coefficient,-0.342417,NA,0.71005202,NA,"(0.62, 0.81)",0.06752601,NA,3.96E-07,NA,NA,118017,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol,L-LDL-PL,Beta Coefficient,-0.3435728,NA,0.70923185,NA,"(0.62, 0.81)",0.06797423,NA,4.32E-07,NA,NA,118015,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,NA Cholesteryl Esters,Total-CE,Beta Coefficient,-0.324582,NA,0.72282944,NA,"(0.64, 0.82)",0.06431276,NA,4.49E-07,NA,NA,118012,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol ratio,L-LDL-C,Beta Coefficient,-0.2317962,NA,0.7931077,NA,"(0.72, 0.87)",0.04593856,NA,4.52E-07,NA,NA,63660,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Polyunsaturated Fatty Acid ratio,PUFA,Beta Coefficient,-0.2915092,NA,0.74713511,NA,"(0.67, 0.84)",0.05786707,NA,4.71E-07,NA,NA,117943,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Unsaturation,Unsaturation,Beta Coefficient,-0.2514793,NA,0.77764954,NA,"(0.7, 0.86)",0.05012275,NA,5.24E-07,NA,NA,63693,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Very small VLDL Triglyceride,XS-VLDL-TG,Beta Coefficient,0.29999505,NA,1.34985212,NA,"(1.2, 1.52)",0.06005756,NA,5.88E-07,NA,NA,117839,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small LDL Cholesterol,S-LDL-L,Beta Coefficient,-0.345515,NA,0.70785573,NA,"(0.62, 0.81)",0.06919964,NA,5.94E-07,NA,NA,118017,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Small LDL Cholesterol ratio,S-LDL-C,Beta Coefficient,-0.1362412,NA,0.87263214,NA,"(0.83, 0.92)",0.02729361,NA,5.99E-07,NA,NA,117523,C18,Colon Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol,L-LDL-L,Beta Coefficient,-0.3235977,NA,0.72354123,NA,"(0.64, 0.82)",0.06492272,NA,6.22E-07,NA,NA,118008,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very Large HDL Cholesterol,XL-HDL-PL,Beta Coefficient,-0.2854511,NA,0.75167513,NA,"(0.67, 0.84)",0.05756303,NA,7.09E-07,NA,NA,63575,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Very Large HDL Cholesterol,XL-HDL-TG,Beta Coefficient,0.29011908,NA,1.33658664,NA,"(1.19, 1.5)",0.05855146,NA,7.24E-07,NA,NA,117801,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium HDL Cholesterol,M-HDL-TG,Beta Coefficient,0.30100846,NA,1.35122077,NA,"(1.2, 1.52)",0.06078551,NA,7.35E-07,NA,NA,117904,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very small VLDL ratio,XS-VLDL-C,Beta Coefficient,-0.1364712,NA,0.87243144,NA,"(0.83, 0.92)",0.02765224,NA,8.00E-07,NA,NA,117698,C18,Colon Cancer
36737450,36737450.1.1,Nightingale,NA,IDL Triglyceride,IDL-TG,Beta Coefficient,0.29595653,NA,1.34441172,NA,"(1.2, 1.51)",0.06007284,NA,8.37E-07,NA,NA,117831,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,ApoA1,ApoA1,Beta Coefficient,-0.2627336,NA,0.7689467,NA,"(0.69, 0.85)",0.05360546,NA,9.52E-07,NA,NA,63724,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Very small VLDL ratio,XS-VLDL-CE,Beta Coefficient,-0.1352009,NA,0.87354043,NA,"(0.83, 0.92)",0.02760877,NA,9.73E-07,NA,NA,117706,C18,Colon Cancer
36737450,36737450.1.1,Nightingale,NA,SFA  ratio,SFA,Beta Coefficient,0.24763924,NA,1.28099771,NA,"(1.16, 1.42)",0.05095848,NA,1.18E-06,NA,NA,117893,C15,Esophageal Cancer
36737450,36737450.1.1,Nightingale,NA,Large HDL Cholesterol ratio,L-HDL-PL,Beta Coefficient,0.28481238,NA,1.32951256,NA,"(1.19, 1.49)",0.05868194,NA,1.21E-06,NA,NA,117610,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Total BCAA,Total BCAA,Beta Coefficient,0.4087632,NA,1.50495531,NA,"(1.28, 1.78)",0.08456614,NA,1.34E-06,NA,NA,117794,C73,Thyroid Cancer
36737450,36737450.1.1,Nightingale,NA,Large LDL Cholesterol ratio,L-LDL-FC,Beta Coefficient,-0.1320015,NA,0.87633972,NA,"(0.83, 0.92)",0.02747159,NA,1.55E-06,NA,NA,117497,C18,Colon Cancer
36737450,36737450.1.1,Nightingale,NA,NA Cholesterol,Total-C,Beta Coefficient,-0.306526,NA,0.73599937,NA,"(0.65, 0.83)",0.06400625,NA,1.68E-06,NA,NA,118010,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium VLDL ratio,M-VLDL-CE,Beta Coefficient,-0.222074,NA,0.80085613,NA,"(0.73, 0.88)",0.04647083,NA,1.76E-06,NA,NA,118029,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Medium HDL Cholesterol,M-HDL-FC,Beta Coefficient,-0.2622427,NA,0.7693243,NA,"(0.69, 0.86)",0.0549551,NA,1.82E-06,NA,NA,63724,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Valine,Val,Beta Coefficient,0.40739556,NA,1.50289847,NA,"(1.27, 1.78)",0.08541004,NA,1.84E-06,NA,NA,117887,C73,Thyroid Cancer
36737450,36737450.1.1,Nightingale,NA,Medium LDL Cholesterol,M-LDL-CE,Beta Coefficient,-0.3282381,NA,0.72019152,NA,"(0.63, 0.82)",0.06894052,NA,1.92E-06,NA,NA,118014,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Very small VLDL ratio,XS-VLDL-TG,Beta Coefficient,0.14298323,NA,1.15371045,NA,"(1.09, 1.22)",0.03007332,NA,1.99E-06,NA,NA,117660,C18,Colon Cancer
36737450,36737450.1.1,Nightingale,NA,LA  ratio,LA,Beta Coefficient,-0.283966,NA,0.75279225,NA,"(0.67, 0.85)",0.05986318,NA,2.10E-06,NA,NA,117951,C22,Liver Cancer
36737450,36737450.1.1,Nightingale,NA,Sphingomyelins,Sphingomyelins,Beta Coefficient,-0.2478396,NA,0.78048512,NA,"(0.7, 0.86)",0.05235176,NA,2.20E-06,NA,NA,63692,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Glycoprotein acetyls,Glycoprotein acetyls,Beta Coefficient,0.24160312,NA,1.27328875,NA,"(1.15, 1.41)",0.05160178,NA,2.84E-06,NA,NA,63736,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,IDL ratio,IDL-FC,Beta Coefficient,-0.1269361,NA,0.88079,NA,"(0.83, 0.93)",0.02731006,NA,3.35E-06,NA,NA,117577,C18,Colon Cancer
36737450,36737450.1.1,Nightingale,NA,HDL Phosphoglyceride,HDL-PL,Beta Coefficient,-0.24907,NA,0.7795254,NA,"(0.7, 0.87)",0.05360737,NA,3.38E-06,NA,NA,63721,C54,Endometrial Cancer
36737450,36737450.1.1,Nightingale,NA,Valine,Val,Beta Coefficient,0.22022756,NA,1.24636032,NA,"(1.14, 1.37)",0.04741077,NA,3.40E-06,NA,NA,63699,C54,Endometrial Cancer
